source_id	ONCnic3	_RAJ2000	_DEJ2000	N	Vis	xPos	yPos	Opt	O	RAJ2000	DEJ2000	F110W	e_F110W	f_F110W	F160W	e_F160W	f_F160W
8232	1	83.541471	-5.501533	1	1	577	362	0	0	05 34 09.953	-05 30 05.52	       	21.1841	2	20.59	0.276	1
8233	2	83.542442	-5.499914	1	1	560	391	0	0	05 34 10.186	-05 29 59.69	       	21.1655	2	20.36	0.251	1
8234	3	83.544483	-5.539594	1	11	628	481	0	0	05 34 10.676	-05 32 22.54	       	21.6293	2	18.6	0.109	1
8235	4	83.544933	-5.503578	1	1	516	326	0	0	05 34 10.784	-05 30 12.88	       	21.5414	2	       	21.3768	2
8236	5	83.545096	-5.503264	1	1	513	331	0	0	05 34 10.823	-05 30 11.75	       	21.7152	2	       	21.4091	2
8237	6	83.546258	-5.506781	1	1	492	269	0	0	05 34 11.102	-05 30 24.41	       	21.4494	2	       	21.2674	2
8238	7	83.547283	-5.487589	1	1	475	609	0	0	05 34 11.348	-05 29 15.32	       	21.3182	2	18.95	0.128	1
8239	8	83.548083	-5.505542	1	1	460	291	0	0	05 34 11.540	-05 30 19.95	14.018	0.009	1	12.97	0.008	1
8240	9	83.5482	-5.509431	1	1	458	222	0	0	05 34 11.568	-05 30 33.95	20.199	0.155	1	18.21	0.091	1
8241	10	83.548825	-5.533592	1	11	551	587	0	0	05 34 11.718	-05 32 00.93	       	21.5027	2	       	21.7872	2
8242	11	83.549529	-5.48865	1	1	435	591	0	0	05 34 11.887	-05 29 19.14	18.571	0.072	1	16.46	0.04	1
8243	12	83.549817	-5.486403	1	1	430	631	0	0	05 34 11.956	-05 29 11.05	       	21.7121	2	       	21.6096	2
8244	13	83.550529	-5.500072	1	1	417	388	0	0	05 34 12.127	-05 30 00.26	       	21.8794	2	20.3	0.238	1
8245	14	83.551763	-5.539256	1	11	499	487	0	0	05 34 12.423	-05 32 21.32	20.731	0.197	1	18.13	0.087	1
8246	15	83.552792	-5.505992	1	1	377	283	0	0	05 34 12.670	-05 30 21.57	       	22.0277	2	       	21.7703	2
8247	16	83.553287	-5.505242	1	1	368	296	0	0	05 34 12.789	-05 30 18.87	       	21.9747	2	       	21.8591	2
8248	17	83.553583	-5.502017	1	1	363	353	0	0	05 34 12.860	-05 30 07.26	       	22.0772	2	20.75	0.294	1
8249	18	83.553558	-5.555406	1	11	467	200	0	0	05 34 12.854	-05 33 19.46	       	21.4509	2	19.23	0.146	1
8250	19	83.554508	-5.533222	1	11	451	594	0	0	05 34 13.082	-05 31 59.60	       	21.4278	2	       	21.7035	2
17	20	83.554912	-5.405692	1	32	623	506	1	1	05 34 13.179	-05 24 20.49	20.133	0.15	1	18.27	0.094	1
8251	21	83.556304	-5.502383	1	1	315	347	0	0	05 34 13.513	-05 30 08.58	18.975	0.087	1	17	0.052	1
8252	22	83.557717	-5.410436	1	32	574	422	0	0	05 34 13.852	-05 24 37.57	       	21.4779	2	       	21.1983	2
8253	23	83.558004	-5.499789	1	1	285	393	0	0	05 34 13.921	-05 29 59.24	       	21.8807	2	19.79	0.189	1
26	24	83.558138	-5.408644	1	32	566	454	2	2	05 34 13.953	-05 24 31.12	15.09	0.015	1	13.91	0.012	1
8254	25	83.559162	-5.495872	1	1	265	462	0	0	05 34 14.199	-05 29 45.14	       	21.206	2	       	20.8405	2
8255	26	83.559329	-5.546283	1	11	366	362	0	0	05 34 14.239	-05 32 46.62	       	22.3151	2	       	21.9387	2
28	27	83.559908	-5.412681	1	32	535	382	1	1	05 34 14.378	-05 24 45.65	17.959	0.055	1	16.68	0.045	1
8256	28	83.560267	-5.545044	1	11	349	384	0	0	05 34 14.464	-05 32 42.16	       	22.2269	2	       	21.7341	2
8257	29	83.560675	-5.536486	1	11	342	536	0	0	05 34 14.562	-05 32 11.35	19.084	0.092	1	16.92	0.05	1
8258	30	83.561183	-5.554639	1	11	333	214	0	0	05 34 14.684	-05 33 16.70	       	21.7211	2	20.16	0.225	1
8259	31	83.561271	-5.536244	1	11	331	540	0	0	05 34 14.705	-05 32 10.48	20.056	0.145	1	17.87	0.078	1
8260	32	83.561804	-5.402303	1	32	502	566	0	0	05 34 14.833	-05 24 08.29	       	21.3091	2	19.8	0.193	1
41	33	83.563187	-5.412172	1	32	477	391	2	2	05 34 15.165	-05 24 43.82	16.874	0.033	1	15.63	0.028	1
8261	34	83.5632	-5.419631	1	32	477	259	0	0	05 34 15.168	-05 25 10.67	       	21.4348	2	20.3	0.24	1
8262	35	83.562858	-5.542611	1	11	294	416	0	0	05 34 15.086	-05 32 33.40	       	22.0427	2	19.83	0.192	1
8262	36	83.562858	-5.542611	1	11	294	416	0	0	05 34 15.086	-05 32 33.40	       	22.0427	2	19.83	0.192	1
